Station_Name,Street_Address,City,Access_Days_Time,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,EV_Other_Info,New_Georeferenced_Column,Category,Latitude,Longitude,Total_EVSE_Num,distance_to_A,distance_to_B,geometry,Station_Category,Address_Number,Charger_Category
Metro Center 1,One Station Place,Stamford,mon: 24 hours | tue: 24 hours | wed: 24 hours | thu: 24 hours | fri: 24 hours | sat: 24 hours | sun: 24 hours,0,1,0,NONE,POINT (-73.542177 41.046112),Daily,41.046112,-73.542177,1,46.92545002906245,39.42590518033308,POINT (-73.542177 41.046112),Level 2 only,325,1-3
Dinosaur State Park and Arboretum,400 West St,Rockyhill,park business hours,0,2,0,NONE,POINT (-72.658514 41.651179),Business Hours,41.651179,-72.658514,2,71.98676087292833,72.24441247788896,POINT (-72.658514 41.651179),Level 2 only,326,1-3
Staples High School,70 North Avenue,Westport,mo: not specified; tu: not specified; we: not specified; th: not specified; fr: not specified; sa: not specified; su: not specified,0,2,0,NONE,POINT (-73.3304754 41.1526176),Other,41.1526176,-73.3304754,2,37.201975929688764,28.821204123674516,POINT (-73.3304754 41.1526176),Level 2 only,327,1-3
Windham Town Hall,979 Main St,Windham,24 hours daily,0,2,0,NONE,POINT (-72.217506 41.71292),Daily,41.71292,-72.217506,2,109.22508545635237,109.03886536584464,POINT (-72.217506 41.71292),Level 2 only,328,1-3
West Hartford - Town Hall,50 S Main St,West Hartford,parking lot business hours,0,2,0,NONE,POINT (-72.741204 41.758754),Business Hours,41.758754,-72.741204,2,70.03039674126627,71.88626744520145,POINT (-72.741204 41.758754),Level 2 only,329,1-3
Connecticut Welcome Center - Tesla Supercharger,1 E Trail,Darien,24 hours daily; for tesla use only,0,0,4,NONE,POINT (-73.46135 41.080103),Tesla,41.080103,-73.46135,4,42.95946274221377,34.95707950269634,POINT (-73.46135 41.080103),DC Fast only,175,4-6
City of New Haven - Temple Street Garage,1 Temple St,New Haven,24 hours daily; pay lot,0,3,0,NONE,POINT (-72.928369 41.304245),Daily,41.304245,-72.928369,3,49.976272794665036,45.125862778213786,POINT (-72.928369 41.304245),Level 2 only,330,1-3
Minor Memorial Library,23 South St,Roxbury,24 hours daily,0,1,0,NONE,POINT (-73.30764000000002 41.55358),Daily,41.55358,-73.30764000000002,1,17.733847717963233,21.456790759902113,POINT (-73.30764000000002 41.55358),Level 2 only,331,1-3
Szczesny Parking Garage,31 Bank St,New Britain,24 hours daily,0,2,0,NONE,POINT (-72.78037 41.666879),Daily,41.666879,-72.78037,2,62.8993300611196,63.8251668846195,POINT (-72.78037 41.666879),Level 2 only,332,1-3
GE WS - Price Chopper #243 Storrs CT 1,1220  Storrs Rd,Mansfield,24 hours daily,0,1,0,NONE,POINT (-72.241254 41.80199700000001),Daily,41.80199700000001,-72.241254,1,110.18130360066651,110.75882402288784,POINT (-72.241254 41.80199700000001),Level 2 only,236,1-3
